Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
20/10/2020,Chelsea,Sevilla,0,0,D,12,11,4,4
20/10/2020,Man United,PSG,1,3,A,9,16,3,8
21/10/2020,Barcelona,Lyon,2,1,H,15,10,6,4
21/10/2020,Dortmund,Porto,2,0,H,14,8,6,3
28/10/2020,Real Madrid,Ajax,3,1,H,17,9,8,4
28/10/2020,Liverpool,Man City,2,2,D,13,14,6,7
03/11/2020,Bayern Munich,Chelsea,3,0,H,18,7,9,2
03/11/2020,Juventus,Barcelona,0,2,A,10,15,3,7
04/11/2020,Man City,Dortmund,3,1,H,19,11,9,5
04/11/2020,Porto,Inter Milan,1,0,H,11,10,4,4
24/11/2020,Liverpool,Atletico Madrid,2,0,H,16,8,7,3
24/11/2020,PSG,Man United,1,2,A,13,15,5,6
25/11/2020,Real Madrid,Bayern Munich,2,2,D,14,15,6,7
25/11/2020,Ajax,Benfica,2,1,H,14,9,6,4
01/12/2020,Man City,Bayern Munich,1,3,A,12,18,5,9
01/12/2020,Chelsea,Man United,0,1,A,11,13,4,5
02/12/2020,Barcelona,Dortmund,1,1,D,13,12,5,5
02/12/2020,Liverpool,Ajax,2,0,H,15,8,7,3
09/12/2020,Bayern Munich,Atletico Madrid,4,1,H,20,7,10,3
09/12/2020,Real Madrid,Inter Milan,2,0,H,14,9,6,3
17/02/2021,Barcelona,PSG,1,4,A,10,17,4,9
17/02/2021,Leipzig,Liverpool,0,2,A,8,16,2,8
24/02/2021,Bayern Munich,Man City,2,3,A,16,18,7,9
24/02/2021,Atletico Madrid,Chelsea,0,1,A,9,14,3,6
10/03/2021,Man City,Dortmund,2,1,H,17,11,7,5
10/03/2021,Real Madrid,Liverpool,3,1,H,15,13,8,5
06/04/2021,Bayern Munich,PSG,2,3,A,15,17,6,9
06/04/2021,Porto,Chelsea,0,2,A,8,15,2,7
07/04/2021,Man City,Dortmund,2,1,H,16,12,7,5
07/04/2021,Real Madrid,Liverpool,0,0,D,11,12,4,5
27/04/2021,Chelsea,Real Madrid,2,0,H,13,10,6,4
28/04/2021,PSG,Man City,1,2,A,12,17,5,8
05/05/2021,Man City,PSG,2,0,H,15,10,7,4
29/05/2021,Man City,Chelsea,0,1,A,12,14,5,6

